#,Заказной код,Параметр:Заказной код:Питание
,EBD22-22DS/R,-
,EBD22-22DS/G,-
,EBD22-22DS/Y,-
,EBD22-22DS/E,-
,EBD22-22DS/W,AC/DC 6V
,EBD22-22D/R 230V,AC/DC 230V
,EBD22-22D/R 24V,AC/DC 24V
,EBD22-22D/Y 230V,AC/DC 230V
,EBD22-22D/Y 24V,AC/DC 24V
,EBD22-22D/G 230V,AC/DC 230V
,EBD22-22D/G 24V,AC/DC 24V
,EBD22-22D/E 230V,AC/DC 230V
,EBD22-22D/E 24V,AC/DC 24V
,EBD22-22D/W 230V,AC/DC 230V
,EBD22-22D/W 24V,AC/DC 24V
,EBD16-16DS/R,AC/DC 110V
,EBD16-16DS/Y,AC/DC 220V
,EBD16-16DS/G,AC/DC 220V
,EBD16-16DS/E,AC/DC 380V
,EBD16-16DS/W,AC/DC 220V
,EBD16-16D/R,AC/DC 380V
,EBD16-16D/Y,-
,EBD16-16D/G,-
,EBD16-16D/E,-
,EBD16-16D/W,-
