#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Вых.сигнал,Параметр:Заказной код:Блок питания
,THF-00-A-1-0-1-1-1,0-250 нл/мин,0-5 VDC,Есть
,THF-00-A-1-0-1-1-2,0-250 нл/мин,0-5 VDC,Нет
,THF-00-A-1-0-2-1-1,0-250 нл/мин,4-20 mA,Есть
,THF-00-A-1-0-2-1-2,0-250 нл/мин,4-20 mA,Нет
,THF-01-A-1-0-1-1-1,0-300 нл/мин,0-5 VDC,Есть
,THF-01-A-1-0-1-1-2,0-300 нл/мин,0-5 VDC,Нет
,THF-01-A-1-0-2-1-1,0-300 нл/мин,4-20 mA,Есть
,THF-01-A-1-0-2-1-2,0-300 нл/мин,4-20 mA,Нет
,THF-02-A-1-0-1-1-1,0-400 нл/мин,0-5 VDC,Есть
,THF-02-A-1-0-1-1-2,0-400 нл/мин,0-5 VDC,Нет
,THF-02-A-1-0-2-1-1,0-400 нл/мин,4-20 mA,Есть
,THF-02-A-1-0-2-1-2,0-400 нл/мин,4-20 mA,Нет
,THF-03-A-1-0-1-1-1,0-500 нл/мин,0-5 VDC,Есть
,THF-03-A-1-0-1-1-2,0-500 нл/мин,0-5 VDC,Нет
,THF-03-A-1-0-2-1-1,0-500 нл/мин,4-20 mA,Есть
,THF-03-A-1-0-2-1-2,0-500 нл/мин,4-20 mA,Нет
