#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,36517663,100 мм,"G1/2""",1,-1…0 бар
,36517664,100 мм,"G1/2""",1,"-1…1,5 бар"
,36495141,100 мм,"G1/2""",1,-1…3 бар
,36495137,100 мм,"G1/2""",1,-1…5 бар
,36495594,100 мм,"G1/2""",1,-1…9 бар
,36495596,100 мм,"G1/2""",1,-1…15 бар
,36517707,100 мм,"G1/2""",1,"0,6 бар"
,36495138,100 мм,"G1/2""",1,1 бар
,36517708,100 мм,"G1/2""",1,"1,6 бар"
,36517666,100 мм,"G1/2""",1,"2,5 бар"
,36517667,100 мм,"G1/2""",1,4 бар
,36495589,100 мм,"G1/2""",1,6 бар
,36495136,100 мм,"G1/2""",1,10 бар
,36495590,100 мм,"G1/2""",1,16 бар
,36495139,100 мм,"G1/2""",1,25 бар
,36495142,100 мм,"G1/2""",1,40 бар
,36517671,100 мм,"G1/2""",1,60 бар
,36517672,100 мм,"G1/2""",1,100 бар
,36517673,100 мм,"G1/2""",1,160 бар
,36517674,100 мм,"G1/2""",1,250 бар
,36517675,100 мм,"G1/2""",1,400 бар
,36495110,100 мм,"G1/2""",1,600 бар
,36517676,100 мм,"G1/2""",1,1000 бар
,36517677,100 мм,"G1/2""",1,-1…0 бар
,36517678,100 мм,"G1/2""",1,"-1…1,5 бар"
,36517679,100 мм,"G1/2""",1,-1…3 бар
,36517680,100 мм,"G1/2""",1,-1…5 бар
,36517682,100 мм,"G1/2""",1,-1…9 бар
,36517683,100 мм,"G1/2""",1,-1…15 бар
,36517686,100 мм,"G1/2""",1,"0,6 бар"
,36517688,100 мм,"G1/2""",1,1 бар
,36517689,100 мм,"G1/2""",1,"1,6 бар"
,36517690,100 мм,"G1/2""",1,"2,5 бар"
,36517691,100 мм,"G1/2""",1,4 бар
,36517692,100 мм,"G1/2""",1,6 бар
,36517693,100 мм,"G1/2""",1,10 бар
,36517694,100 мм,"G1/2""",1,16 бар
,36517695,100 мм,"G1/2""",1,25 бар
,36497415,100 мм,"G1/2""",1,40 бар
,36517696,100 мм,"G1/2""",1,60 бар
,36517697,100 мм,"G1/2""",1,100 бар
,36517699,100 мм,"G1/2""",1,160 бар
,36517701,100 мм,"G1/2""",1,250 бар
,36517702,100 мм,"G1/2""",1,400 бар
,36517704,100 мм,"G1/2""",1,600 бар
,36517705,100 мм,"G1/2""",1,1000 бар
