#,Серия,Параметр:Серия:Серия,Условное обозначение:Серия:Cерия,Форма корпуса,Параметр:Форма корпуса:Форма корпуса,Тип подсоединения,Параметр:Тип подсоединения:Тип подсоединения,Размеры подсоединений,Параметр:Размеры подсоединений:Размеры подсоединений,Материал седла,Параметр:Материал седла:Материал седла,Применение для кислых сред,Параметр:Применение для кислых сред:Применение для кислых сред,Материал,Параметр:Материал:Материал,Серия привода,Параметр:Серия привода:Серия привода
,HB1,HB1,Ду 4.2мм,-,Проходной 2-х ходовой (по умолчанию),H,Трубный фитинг Hy-Lok,2N,"NPT 1/8""",-,PCTFE (по умолчанию),-,Отсутствует (стандарт),-,Нержавеющая сталь S316,APB-O,Пневмопривод нормально открытый
,HB2,HB2,Ду 6.4мм,B3,3-х ходовой,M,Наружная резьба,4N,"NPT 1/4""",PK,PEEK,SOG,NACE MR-01-75,BRAS,Латунь,,
,HB3,HB3,Ду 10.3мм,,,F,Внутренняя резьба,6N,"NPT 3/8""",P,PTFE,,,,,,
,,,,,,MH,Наружная резьба и трубный фитинг Hy-Lok,8N,"NPT 1/2""",,,,,,,,
,,,,,,MF,Наружная резьба и внутренняя резьба,2R,"RT (BSPT) 1/8""",,,,,,,,
,,,,,,,,4R,"RT (BSPT) 1/4""",,,,,,,,
,,,,,,,,6R,"RT (BSPT) 3/8""",,,,,,,,
,,,,,,,,8R,"RT (BSPT) 1/2""",,,,,,,,
,,,,,,,,2G,"G (BSPP) 1/8""",,,,,,,,
,,,,,,,,4G,"G (BSPP) 1/4""",,,,,,,,
,,,,,,,,6G,"G (BSPP) 3/8""",,,,,,,,
,,,,,,,,8G,"G (BSPP) 1/2""",,,,,,,,
,,,,,,,,3M,Hy-Lok 3мм,,,,,,,,
,,,,,,,,6M,Hy-Lok 6мм,,,,,,,,
,,,,,,,,8M,Hy-Lok 8мм,,,,,,,,
,,,,,,,,10M,Hy-Lok 10мм,,,,,,,,
,,,,,,,,12M,Hy-Lok 12мм,,,,,,,,
,,,,,,,,2T,"Hy-Lok 1/8""",,,,,,,,
,,,,,,,,4T,"Hy-Lok 1/4""",,,,,,,,
,,,,,,,,6T,"Hy-Lok 3/8""",,,,,,,,
,,,,,,,,8T,"Hy-Lok 1/2""",,,,,,,,
,,,,,,,,12T,"Hy-Lok 3/4""",,,,,,,,
