#,Заказной код,Параметр:Заказной код:Уплотнение,Параметр:Заказной код:Дополнительные опции,Параметр:Заказной код:К процессу,Параметр:Заказной код:К прибору,Параметр:Заказной код:Дренаж,,,
,M5V1FTV8N,PTFE,нет,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5V1FTV-8N-P,PTFE,заглушка,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5V2FTV,PTFE,нет,фланец,фланец,"NPT 1/4""",,,
,M5VDMATV8N,PTFE,нет,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5VDMATV-8N,PTFE,нет,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5VDMATV8N-P,PTFE,заглушка,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5VDMATV-8N-P-SOG,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5VDMTV-8N,PTFE,нет,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5VDMTV8N-P,PTFE,заглушка,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5VDMTV8N-P-OS,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5VDMTV8N-P-SOG,PTFE,заглушка+для кислых сред,"NPT 1/2"" внутр.",фланец,"NPT 1/4""",,,
,M5VTV8N,PTFE,нет,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
,M5VTV8N-SOG,PTFE,для кислых сред,"NPT 1/2"" внутр.","NPT 1/2"" внутр.","NPT 1/4""",,,
