#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Концевые выключатели
,MDS-A(1)-PC-S-C-0-BT,8-80 нл/мин,"NPT 3/8"" внутр.",без выкл.
,MDS-A(2)-PC-S-C-0-BT,10-100 нл/мин,"BSPT 1/4"" внутр.",без выкл.
,MDS-A(3)-PC-S-C-0-BT,15-150 нл/мин,"BSPT 1/4"" внутр.",без выкл.
,MDS-A(4)-PC-S-A-0-BT,25-250 нл/мин,"NPT 3/8"" внутр.",без выкл.
,MDS-A(5)-PC-S-A-0-BT,40-400 нл/мин,"NPT 3/8"" внутр.",без выкл.
,MDS-A(1)-PC-S-C-L-BT,8-80 нл/мин,"NPT 3/8"" внутр.",слева
,MDS-A(2)-PC-S-C-L-BT,10-100 нл/мин,"BSPT 1/4"" внутр.",слева
,MDS-A(3)-PC-S-C-L-BT,15-150 нл/мин,"BSPT 1/4"" внутр.",слева
,MDS-A(4)-PC-S-A-L-BT,25-250 нл/мин,"NPT 3/8"" внутр.",слева
,MDS-A(5)-PC-S-A-L-BT,40-400 нл/мин,"NPT 3/8"" внутр.",слева
,MDS-A(1)-PC-S-C-R-BT,8-80 нл/мин,"NPT 3/8"" внутр.",справа
,MDS-A(2)-PC-S-C-R-BT,10-100 нл/мин,"BSPT 1/4"" внутр.",справа
,MDS-A(3)-PC-S-C-R-BT,15-150 нл/мин,"BSPT 1/4"" внутр.",справа
,MDS-A(4)-PC-S-A-R-BT,25-250 нл/мин,"NPT 3/8"" внутр.",справа
,MDS-A(5)-PC-S-A-R-BT,40-400 нл/мин,"NPT 3/8"" внутр.",справа
