#,Заказной код,Параметр:Заказной код:Точность,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Питание,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Корпус
,14071123,"0,25%","G 1/2"" B наруж.",DC 8...35 В,-1...0 бар,"4...20 мA, 2-проводной",Нерж.сталь
,14071133,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0…1 бар,"4...20 мA, 2-проводной",Нерж.сталь
,14071134,"0,25%","G 1/2"" B наруж.",DC 8...35 В,"0...1,6 бар","4...20 мA, 2-проводной",Нерж.сталь
,14071135,"0,25%","G 1/2"" B наруж.",DC 8...35 В,"0...2,5 бар","4...20 мA, 2-проводной",Нерж.сталь
,14071137,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0…4 бар,"4...20 мA, 2-проводной",Нерж.сталь
,14071139,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...6 бар,"4...20 мA, 2-проводной",Нерж.сталь
,14071141,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...10 бар,"4...20 мA, 2-проводной",Нерж.сталь
,14071142,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...16 бар,"4...20 мA, 2-проводной",Нерж.сталь
,14071144,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...25 бар,"4...20 мA, 2-проводной",Нерж.сталь
,36516832,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...40 бар,"4...20 мA, 2-проводной",Нерж.сталь
,36516833,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...60 бар,"4...20 мA, 2-проводной",Нерж.сталь
,36516834,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...100 бар,"4...20 мA, 2-проводной",Нерж.сталь
,36516835,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...160 бар,"4...20 мA, 2-проводной",Нерж.сталь
,36516836,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...250 бар,"4...20 мA, 2-проводной",Нерж.сталь
,47417240,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...400 бар,"4...20 мA, 2-проводной",Нерж.сталь
,14071155,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...600 бар,"4...20 мA, 2-проводной",Нерж.сталь
,14071157,"0,25%","G 1/2"" B наруж.",DC 8...35 В,0...1000 бар,"4...20 мA, 2-проводной",Нерж.сталь
