#;Заказной код;Размер;Параметр:Размер:Наружный диаметр трубы (D);Параметр:Размер:Наружный диаметр трубы (D1);Параметр:Размер:Наружный диаметр трубы (D2);Условное обозначение:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D1);Условное обозначение:Размер:Наружный диаметр трубы (D2);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CTR;6M-6M-3M;Hy-Lok 6mm;Hy-Lok 6mm;Hy-Lok 3mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;-;S316;Нержавеющая сталь
;;6M-6M-10M;Hy-Lok 6mm;Hy-Lok 6mm;Hy-Lok 10mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;BRAS;BRAS;Латунь
;;10M-10M-6M;Hy-Lok 10mm;Hy-Lok 10mm;Hy-Lok 6mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;STEL;STEL;Углеродистая сталь
;;10M-10M-12M;Hy-Lok 10mm;Hy-Lok 10mm;Hy-Lok 12mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;12M-6M-10M;Hy-Lok 12mm;Hy-Lok 6mm;Hy-Lok 10mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;12M-6M-12M;Hy-Lok 12mm;Hy-Lok 6mm;Hy-Lok 12mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;12M-10M-10M;Hy-Lok 12mm;Hy-Lok 10mm;Hy-Lok 10mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;12M-12M-10M;Hy-Lok 12mm;Hy-Lok 12mm;Hy-Lok 10mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;12M-12M-6M;Hy-Lok 12mm;Hy-Lok 12mm;Hy-Lok 6mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;20M-12M-20M;Hy-Lok 20mm;Hy-Lok 12mm;Hy-Lok 20mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;20M-20M-6M;Hy-Lok 20mm;Hy-Lok 20mm;Hy-Lok 6mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;20M-20M-10M;Hy-Lok 20mm;Hy-Lok 20mm;Hy-Lok 10mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;20M-20M-12M;Hy-Lok 20mm;Hy-Lok 20mm;Hy-Lok 12mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;20M-20M-25M;Hy-Lok 20mm;Hy-Lok 20mm;Hy-Lok 25mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;20M-20M-32M;Hy-Lok 20mm;Hy-Lok 20mm;Hy-Lok 32mm;Условное обозначение:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D);;;
;;25M-20M-20M;Hy-Lok 25mm;Hy-Lok 20mm;Hy-Lok 20mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;25M-25M-6M;Hy-Lok 25mm;Hy-Lok 25mm;Hy-Lok 6mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;25M-25M-10M;Hy-Lok 25mm;Hy-Lok 25mm;Hy-Lok 10mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;25M-25M-12M;Hy-Lok 25mm;Hy-Lok 25mm;Hy-Lok 12mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;25M-25M-20M;Hy-Lok 25mm;Hy-Lok 25mm;Hy-Lok 20mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;32M-20M-20M;Hy-Lok 32mm;Hy-Lok 20mm;Hy-Lok 20mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;32M-32M-20M;Hy-Lok 32mm;Hy-Lok 32mm;Hy-Lok 20mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;32M-32M-25M;Hy-Lok 32mm;Hy-Lok 32mm;Hy-Lok 25mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;38M-32M-32M;Hy-Lok 38mm;Hy-Lok 32mm;Hy-Lok 32mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;38M-38M-12M;Hy-Lok 38mm;Hy-Lok 38mm;Hy-Lok 12mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;38M-38M-20M;Hy-Lok 38mm;Hy-Lok 38mm;Hy-Lok 20mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;38M-38M-25M;Hy-Lok 38mm;Hy-Lok 38mm;Hy-Lok 25mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;50M-50M-32M;Hy-Lok 50mm;Hy-Lok 50mm;Hy-Lok 32mm;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
